Stego?,Entropy_img_full,Mean_entropy_slices,Stdev_entropy_slices,Mean_MarkovChains_00,Mean_MarkovChains_01,Mean_MarkovChains_10,Mean_MarkovChains_11,Stdev_MarkovChains_00,Stdev_MarkovChains_01,Stdev_MarkovChains_10,Stdev_MarkovChains_11,Mean_imgfull_MarkovChains_00,Mean_imgfull_MarkovChains_01,Mean_imgfull_MarkovChains_10,Mean_imgfull_MarkovChains_11
0,4.80497320759184,7.09389671815855,0.561396570826114,875,125,0,1,0,0,0,0,0.473171296296296,0.526828703703704,0.05882409325424,0.94117590674576
0,4.8941673062377,6.40554393313072,1.53859596320413,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.43364351390255,7.34806608889603,1.75401509942277,0.848828125,0.151171875,0.03515625,0.96484375,0.075254816791996,0.075254816791996,0.087595611028342,0.087595611028342,0.5,0.5,0,1
0,5.17914149881935,6.11838051644647,1.00877085455073,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.14379438309765,6.39586069022359,1.577193517243,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.15596085501565,7.47754598046836,0.668909801221212,875,125,0,1,0,0,0,0,0.4967315124112,0.5032684875888,0.09314882929142,0.90685117070858
0,4.83120968234644,5.1961680962548,2.97454137723436,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.32283479399061,6.3880470021968,2.36271731485417,875,125,0,1,0,0,0,0,0.5,0.5,0.000277777777778,0.999722222222222
0,5.36354207256903,7.21018875587935,1.51337351228564,875,125,0,1,0,0,0,0,0.50036075036075,0.49963924963925,0.002597402597403,0.997402597402597
0,5.31311840649908,6.60969016795718,0.863832611629916,875,125,0,1,0,0,0,0,0.500668002672011,0.499331997327989,0.001002004008016,0.998997995991984
0,4.98069206449453,7.50143579996081,2.37638287013886,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.36647536105384,8.16647190372871,1.37812464236332,875,125,0,1,0,0,0,0,0.500717070453913,0.499282929546087,0.00650932887775,0.99349067112225
